group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
depth 3,,,,,1381549.0,ns,13
depth 3,,,,,2358578.0,ns,26
depth 3,,,,,3071939.0,ns,39
depth 3,,,,,5590376.0,ns,52
depth 3,,,,,5664451.0,ns,65
depth 3,,,,,6414614.0,ns,78
depth 3,,,,,7838242.0,ns,91
depth 3,,,,,8601652.0,ns,104
depth 3,,,,,9817893.0,ns,117
depth 3,,,,,10586547.0,ns,130
depth 3,,,,,11399467.0,ns,143
depth 3,,,,,12819665.0,ns,156
depth 3,,,,,13357066.0,ns,169
depth 3,,,,,14386522.0,ns,182
depth 3,,,,,15150129.0,ns,195
depth 3,,,,,16413489.0,ns,208
depth 3,,,,,17819743.0,ns,221
depth 3,,,,,18812595.0,ns,234
depth 3,,,,,20759596.0,ns,247
depth 3,,,,,21013393.0,ns,260
depth 3,,,,,21916465.0,ns,273
depth 3,,,,,22631518.0,ns,286
depth 3,,,,,26046581.0,ns,299
depth 3,,,,,25173966.0,ns,312
depth 3,,,,,26425568.0,ns,325
depth 3,,,,,26633910.0,ns,338
depth 3,,,,,27936940.0,ns,351
depth 3,,,,,28852195.0,ns,364
depth 3,,,,,30103868.0,ns,377
depth 3,,,,,32143954.0,ns,390
depth 3,,,,,32366078.0,ns,403
depth 3,,,,,35132600.0,ns,416
depth 3,,,,,34537781.0,ns,429
depth 3,,,,,35900719.0,ns,442
depth 3,,,,,35968207.0,ns,455
depth 3,,,,,36840175.0,ns,468
depth 3,,,,,37594029.0,ns,481
depth 3,,,,,39844578.0,ns,494
depth 3,,,,,40170807.0,ns,507
depth 3,,,,,41652921.0,ns,520
depth 3,,,,,45435781.0,ns,533
depth 3,,,,,45172963.0,ns,546
depth 3,,,,,44329511.0,ns,559
depth 3,,,,,45287692.0,ns,572
depth 3,,,,,46340398.0,ns,585
depth 3,,,,,47150256.0,ns,598
depth 3,,,,,48319193.0,ns,611
depth 3,,,,,49276823.0,ns,624
depth 3,,,,,52436177.0,ns,637
depth 3,,,,,53567139.0,ns,650
depth 3,,,,,53208281.0,ns,663
depth 3,,,,,53915168.0,ns,676
depth 3,,,,,56904466.0,ns,689
depth 3,,,,,57022036.0,ns,702
depth 3,,,,,58711021.0,ns,715
depth 3,,,,,59128741.0,ns,728
depth 3,,,,,59238336.0,ns,741
depth 3,,,,,61894881.0,ns,754
depth 3,,,,,60361736.0,ns,767
depth 3,,,,,66493926.0,ns,780
depth 3,,,,,62571445.0,ns,793
depth 3,,,,,63406437.0,ns,806
depth 3,,,,,65969466.0,ns,819
depth 3,,,,,65673437.0,ns,832
depth 3,,,,,67965469.0,ns,845
depth 3,,,,,68835765.0,ns,858
depth 3,,,,,69486165.0,ns,871
depth 3,,,,,69820919.0,ns,884
depth 3,,,,,73544525.0,ns,897
depth 3,,,,,73300032.0,ns,910
depth 3,,,,,74926332.0,ns,923
depth 3,,,,,75155750.0,ns,936
depth 3,,,,,74960387.0,ns,949
depth 3,,,,,75921516.0,ns,962
depth 3,,,,,82836617.0,ns,975
depth 3,,,,,80902122.0,ns,988
depth 3,,,,,80440437.0,ns,1001
depth 3,,,,,82846822.0,ns,1014
depth 3,,,,,83305922.0,ns,1027
depth 3,,,,,83213004.0,ns,1040
depth 3,,,,,86198954.0,ns,1053
depth 3,,,,,86782833.0,ns,1066
depth 3,,,,,87910515.0,ns,1079
depth 3,,,,,85646759.0,ns,1092
depth 3,,,,,90881714.0,ns,1105
depth 3,,,,,89908208.0,ns,1118
depth 3,,,,,91742069.0,ns,1131
depth 3,,,,,90319219.0,ns,1144
depth 3,,,,,92045744.0,ns,1157
depth 3,,,,,94515873.0,ns,1170
depth 3,,,,,94997327.0,ns,1183
depth 3,,,,,96402895.0,ns,1196
depth 3,,,,,97339676.0,ns,1209
depth 3,,,,,98781290.0,ns,1222
depth 3,,,,,99028435.0,ns,1235
depth 3,,,,,98327219.0,ns,1248
depth 3,,,,,101850213.0,ns,1261
depth 3,,,,,101265347.0,ns,1274
depth 3,,,,,103215980.0,ns,1287
depth 3,,,,,103262491.0,ns,1300
