group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
depth 5,,,,,109637888.0,ns,1
depth 5,,,,,106004739.0,ns,1
depth 5,,,,,105269393.0,ns,1
depth 5,,,,,106572334.0,ns,1
depth 5,,,,,120334671.0,ns,1
depth 5,,,,,107989495.0,ns,1
depth 5,,,,,109090003.0,ns,1
depth 5,,,,,103704931.0,ns,1
depth 5,,,,,110620131.0,ns,1
depth 5,,,,,114763682.0,ns,1
depth 5,,,,,103967135.0,ns,1
depth 5,,,,,115848770.0,ns,1
depth 5,,,,,100670617.0,ns,1
depth 5,,,,,124989097.0,ns,1
depth 5,,,,,114229457.0,ns,1
depth 5,,,,,105369806.0,ns,1
depth 5,,,,,114691078.0,ns,1
depth 5,,,,,145269589.0,ns,1
depth 5,,,,,110965848.0,ns,1
depth 5,,,,,112490916.0,ns,1
depth 5,,,,,125532966.0,ns,1
depth 5,,,,,116776277.0,ns,1
depth 5,,,,,112440454.0,ns,1
depth 5,,,,,111466311.0,ns,1
depth 5,,,,,113162704.0,ns,1
depth 5,,,,,111583234.0,ns,1
depth 5,,,,,108875095.0,ns,1
depth 5,,,,,118017252.0,ns,1
depth 5,,,,,109234802.0,ns,1
depth 5,,,,,113836880.0,ns,1
depth 5,,,,,116554409.0,ns,1
depth 5,,,,,142629246.0,ns,1
depth 5,,,,,100531009.0,ns,1
depth 5,,,,,133299098.0,ns,1
depth 5,,,,,130418125.0,ns,1
depth 5,,,,,100143350.0,ns,1
depth 5,,,,,97126763.0,ns,1
depth 5,,,,,107670379.0,ns,1
depth 5,,,,,105871705.0,ns,1
depth 5,,,,,105400209.0,ns,1
depth 5,,,,,117439094.0,ns,1
depth 5,,,,,109951646.0,ns,1
depth 5,,,,,103182490.0,ns,1
depth 5,,,,,104690998.0,ns,1
depth 5,,,,,106876358.0,ns,1
depth 5,,,,,103342223.0,ns,1
depth 5,,,,,115549083.0,ns,1
depth 5,,,,,132566258.0,ns,1
depth 5,,,,,105518728.0,ns,1
depth 5,,,,,110913002.0,ns,1
depth 5,,,,,103819147.0,ns,1
depth 5,,,,,104609250.0,ns,1
depth 5,,,,,104215821.0,ns,1
depth 5,,,,,108301573.0,ns,1
depth 5,,,,,112593381.0,ns,1
depth 5,,,,,105640776.0,ns,1
depth 5,,,,,107804205.0,ns,1
depth 5,,,,,119275500.0,ns,1
depth 5,,,,,99106619.0,ns,1
depth 5,,,,,121978415.0,ns,1
depth 5,,,,,105917735.0,ns,1
depth 5,,,,,107413289.0,ns,1
depth 5,,,,,112461689.0,ns,1
depth 5,,,,,114486618.0,ns,1
depth 5,,,,,116340756.0,ns,1
depth 5,,,,,115085336.0,ns,1
depth 5,,,,,106738086.0,ns,1
depth 5,,,,,131250501.0,ns,1
depth 5,,,,,111465393.0,ns,1
depth 5,,,,,108902046.0,ns,1
depth 5,,,,,116433835.0,ns,1
depth 5,,,,,109287949.0,ns,1
depth 5,,,,,102123415.0,ns,1
depth 5,,,,,109696561.0,ns,1
depth 5,,,,,105834717.0,ns,1
depth 5,,,,,109125003.0,ns,1
depth 5,,,,,108051968.0,ns,1
depth 5,,,,,112607476.0,ns,1
depth 5,,,,,121045217.0,ns,1
depth 5,,,,,107705508.0,ns,1
depth 5,,,,,114197318.0,ns,1
depth 5,,,,,103429228.0,ns,1
depth 5,,,,,117500270.0,ns,1
depth 5,,,,,99663838.0,ns,1
depth 5,,,,,107156485.0,ns,1
depth 5,,,,,109809127.0,ns,1
depth 5,,,,,128715849.0,ns,1
depth 5,,,,,164746241.0,ns,1
depth 5,,,,,114916936.0,ns,1
depth 5,,,,,108168023.0,ns,1
depth 5,,,,,110429313.0,ns,1
depth 5,,,,,97336195.0,ns,1
depth 5,,,,,190142330.0,ns,1
depth 5,,,,,148113069.0,ns,1
depth 5,,,,,107484743.0,ns,1
depth 5,,,,,122967085.0,ns,1
depth 5,,,,,110237182.0,ns,1
depth 5,,,,,112363200.0,ns,1
depth 5,,,,,116801948.0,ns,1
depth 5,,,,,111622354.0,ns,1
